driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s
56S. RamosRAMTrident,22,41:14.942,6.930,1.276,172.83,1:50.927,2,1049,2024,ROUND1Summary,,,56,S  Ramos,RAM,Trident,2474.942,110.927,6.93
62G. MinìMINPREMA Racing,22,41:16.212,8.200,1.270,172.741,1:51.250,2,1049,2024,ROUND1Summary,,,62,G  Minì,MIN,PREMA Racing,2476.212,111.25,8.2
74L. FornaroliFORTrident,22,41:16.900,8.888,0.688,172.693,1:50.922,3,1049,2024,ROUND1Summary,,,74,L  Fornaroli,FOR,Trident,2476.9,110.922,8.888
83A. LindbladLINPREMA Racing,22,41:17.554,9.542,0.654,172.648,1:51.183,2,1049,2024,ROUND1Summary,,,83,A  Lindblad,LIN,PREMA Racing,2477.554,111.183,9.542
99A. DunneDUNMP Motorsport,22,41:24.631,16.619,7.077,172.156,1:51.559,5,1049,2024,ROUND1Summary,,,99,A  Dunne,DUN,MP Motorsport,2484.631,111.559,16.619
1010O. GoetheGOECampos Racing,22,41:25.044,17.032,0.413,172.127,1:51.497,4,1049,2024,ROUND1Summary,,,1010,O  Goethe,GOE,Campos Racing,2485.044,111.497,17.032
1125N. TsolovTSOART Grand Prix,22,41:26.088,18.076,1.044,172.055,1:51.393,2,1049,2024,ROUND1Summary,,,1125,N  Tsolov,TSO,ART Grand Prix,2486.088,111.393,18.076
1220N. LeónLEOVan Amersfoort Racing,22,41:27.463,19.451,1.375,171.96,1:51.601,5,1049,2024,ROUND1Summary,,,1220,N  León,LEO,Van Amersfoort Racing,2487.463,111.601,19.451
131D. BeganovicBEGPREMA Racing,22,41:28.033,20.021,0.570,171.92,1:50.261,2,1049,2024,ROUND1Summary,,,131,D  Beganovic,BEG,PREMA Racing,2488.033,110.261,20.021
1415M. StenshorneSTEHitech Pulse-Eight,22,41:29.746,21.734,1.713,171.802,1:51.777,5,1049,2024,ROUND1Summary,,,1415,M  Stenshorne,STE,Hitech Pulse-Eight,2489.746,111.777,21.734
1524L. Van HoepenVANART Grand Prix,22,41:30.688,22.676,0.942,171.737,1:51.456,3,1049,2024,ROUND1Summary,,,1524,L  Van Hoepen,VAN,ART Grand Prix,2490.688,111.456,22.676
1617C. WurzWURJenzer Motorsport,22,41:31.120,23.108,0.432,171.707,1:52.052,5,1049,2024,ROUND1Summary,,,1617,C  Wurz,WUR,Jenzer Motorsport,2491.12,112.052,23.108
1711S. MontoyaMONCampos Racing,22,41:31.691,23.679,0.571,171.668,1:52.069,4,1049,2024,ROUND1Summary,,,1711,S  Montoya,MON,Campos Racing,2491.691,112.069,23.679
1819M. ZagazetaZAGJenzer Motorsport,22,41:38.859,30.847,0.945,171.176,1:52.446,4,1049,2024,ROUND1Summary,,,1819,M  Zagazeta,ZAG,Jenzer Motorsport,2498.859,112.446,30.847
1926T. InthraphuvasakINTAIX Racing,22,41:42.421,34.409,3.562,170.932,1:52.142,4,1049,2024,ROUND1Summary,,,1926,T  Inthraphuvasak,INT,AIX Racing,2502.421,112.142,34.409
2027N. BedrinBEDAIX Racing,22,41:42.914,29.902,6.223,171.24,1:51.851,5,1049,2024,ROUND1Summary,,,2027,N  Bedrin,BED,AIX Racing,2502.914,111.851,29.902
2129C. VoisinVOIRodin Motorsport,22,41:43.851,35.839,1.430,170.834,1:52.595,6,1049,2024,ROUND1Summary,,,2129,C  Voisin,VOI,Rodin Motorsport,2503.851,112.595,35.839
2222T. SmithSMIVan Amersfoort Racing,22,41:45.477,37.465,1.626,170.723,1:52.491,4,1049,2024,ROUND1Summary,,,2222,T  Smith,SMI,Van Amersfoort Racing,2505.477,112.491,37.465
2331J. LoakeLOARodin Motorsport,22,41:49.143,41.131,3.666,170.474,1:52.351,4,1049,2024,ROUND1Summary,,,2331,J  Loake,LOA,Rodin Motorsport,2509.143,112.351,41.131
2418M. EstersonESTJenzer Motorsport,22,41:50.359,42.347,1.216,170.391,1:52.115,5,1049,2024,ROUND1Summary,,,2418,M  Esterson,EST,Jenzer Motorsport,2510.359,112.115,42.347
2530P. WisnickiWISRodin Motorsport,22,42:00.353,52.341,9.994,169.716,1:52.644,4,1049,2024,ROUND1Summary,,,2530,P  Wisnicki,WIS,Rodin Motorsport,2520.353,112.644,52.341
2616C. ShieldsSHIHitech Pulse-Eight,22,42:01.933,53.921,1.580,169.609,1:51.886,3,1049,2024,ROUND1Summary,,,2616,C  Shields,SHI,Hitech Pulse-Eight,2521.933,111.886,53.921
2728J. DufekDUFAIX Racing,22,42:07.991,59.979,6.058,169.203,1:52.965,16,1049,2024,ROUND1Summary,,,2728,J  Dufek,DUF,AIX Racing,2527.991,112.965,59.979
288K. SztukaSZTMP Motorsport,22,42:11.848,63.836,3.857,168.945,1:51.397,5,1049,2024,ROUND1Summary,,,288,K  Sztuka,SZT,MP Motorsport,2531.848,111.397,63.836
2912M. BoyaBOYCampos Racing,22,42:36.243,88.231,24.395,167.333,1:50.408,9,1049,2024,ROUND1Summary,,,2912,M  Boya,BOY,Campos Racing,2556.243,110.408,88.231
DNF21S. FloerschFLOVan Amersfoort Racing,21,40:00.330,DNF,-,170.085,1:50.998,3,1049,2024,ROUND1Summary,,DNF,21,S  Floersch,FLO,Van Amersfoort Racing,2400.33,110.998,
11D. BeganovicBEGPREMA Racing,23,41:23.816,-,-,175.946,1:35.588,7,1050,2024,ROUND2Summary,,,11,D  Beganovic,BEG,PREMA Racing,2483.816,95.588,
24L. FornaroliFORTrident,23,41:25.498,1.682,1.682,175.827,1:35.715,8,1050,2024,ROUND2Summary,,,24,L  Fornaroli,FOR,Trident,2485.498,95.715,1.682
32G. MinìMINPREMA Racing,23,41:27.037,3.221,1.539,175.718,1:35.671,8,1050,2024,ROUND2Summary,,,32,G  Minì,MIN,PREMA Racing,2487.037,95.671,3.221
414L. BrowningBROHitech Pulse-Eight,23,41:27.866,4.050,0.829,175.659,1:35.848,9,1050,2024,ROUND2Summary,,,414,L  Browning,BRO,Hitech Pulse-Eight,2487.866,95.848,4.05
517C. WurzWURJenzer Motorsport,23,41:40.774,16.958,12.908,174.753,1:36.557,8,1050,2024,ROUND2Summary,,,517,C  Wurz,WUR,Jenzer Motorsport,2500.774,96.557,16.958
611S. MontoyaMONCampos Racing,23,41:45.046,21.230,4.272,174.455,1:36.033,10,1050,2024,ROUND2Summary,,,611,S  Montoya,MON,Campos Racing,2505.046,96.033,21.23
